TargetName,HUGOSymbol,TargetGroup,AnalyteType,CodeClass,ProbePool,MinCount,MaxCount,MedianCount,GeomeanCount,NumberOfProbesIncluded,NumberOfProbesTotal,GeneID
C11orf97,C11orf97,All Targets,RNA,Endogenous,01,1,827,10,10.59453335,1,1,643037
DNAJB13,DNAJB13,All Targets,RNA,Endogenous,01,1,755,15,13.96261404,1,1,374407
TFAM,TFAM,All Targets,RNA,Endogenous,01,1,1223,26,24.90739051,1,1,7019
MAP4,MAP4,All Targets,RNA,Endogenous,01,1,707,13,12.70934141,1,1,4134
RTL10,RTL10,All Targets,RNA,Endogenous,01,1,829,11,10.95619297,1,1,79680
IFT81,IFT81,All Targets,RNA,Endogenous,01,1,859,10,9.425713771,1,1,28981
ZNF433,ZNF433,All Targets,RNA,Endogenous,01,1,835,13,12.10301169,1,1,163059
MTF1,MTF1,All Targets,RNA,Endogenous,01,1,647,11,10.46187525,1,1,4520
DEXI,DEXI,All Targets,RNA,Endogenous,01,1,898,33,32.34825601,1,1,28955
C1orf54,C1orf54,All Targets,RNA,Endogenous,01,1,589,7,7.544970944,1,1,79630
HES7,HES7,All Targets,RNA,Endogenous,01,1,876,33,32.35194946,1,1,84667
APOB,APOB,All Targets,RNA,Endogenous,01,1,824,16,16.06943063,1,1,338
TMTC3,TMTC3,All Targets,RNA,Endogenous,01,1,826,18,18.52919283,1,1,160418
ERCC8,ERCC8,All Targets,RNA,Endogenous,01,1,775,12.5,12.57720428,1,1,1161
TNFRSF13C,TNFRSF13C,All Targets,RNA,Endogenous,01,1,928,33,31.88243017,1,1,115650
BIVM,BIVM,All Targets,RNA,Endogenous,01,1,837,14,13.35697268,1,1,54841
SLC24A1,SLC24A1,All Targets,RNA,Endogenous,01,1,770,12,12.280427,1,1,9187
BCKDHB,BCKDHB,All Targets,RNA,Endogenous,01,1,896,15,14.82799298,1,1,594
PRR13,PRR13,All Targets,RNA,Endogenous,01,1,809,31.5,31.3621517,1,1,54458
RNASE6,RNASE6,All Targets,RNA,Endogenous,01,1,894,15,15.03957124,1,1,6039
ULBP1,ULBP1,All Targets,RNA,Endogenous,01,1,780,20,19.63722922,1,1,80329
ZNF683,ZNF683,All Targets,RNA,Endogenous,01,1,917,13.5,12.37169441,1,1,257101
FIGLA,FIGLA,All Targets,RNA,Endogenous,01,1,859,15,14.11907392,1,1,344018
PRAMEF6,"PRAMEF15,PRAMEF27,PRAMEF26,PRAMEF25,PRAMEF11,PRAMEF4,PRAMEF5,PRAMEF6,LOC112268320,PRAMEF9",All Targets,RNA,Endogenous,01,1,955,35,35.32888464,1,1,440561
KCNG3,KCNG3,All Targets,RNA,Endogenous,01,1,782,10,9.701393845,1,1,170850
OR4C3,OR4C3,All Targets,RNA,Endogenous,01,1,740,13.5,13.09161429,1,1,256144
ATP6V1D,ATP6V1D,All Targets,RNA,Endogenous,01,1,821,11,10.44024682,1,1,51382
RNF214,RNF214,All Targets,RNA,Endogenous,01,1,868,13,12.6046924,1,1,257160
MINAR2,MINAR2,All Targets,RNA,Endogenous,01,1,692,10,9.712288584,1,1,100127206
WIPI1,WIPI1,All Targets,RNA,Endogenous,01,1,817,30,29.32506638,1,1,55062
TMEM100,TMEM100,All Targets,RNA,Endogenous,01,1,939,16,16.10017301,1,1,55273
SMIM9,SMIM9,All Targets,RNA,Endogenous,01,1,752,10,10.06952501,1,1,100132963
UBE2R2,UBE2R2,All Targets,RNA,Endogenous,01,1,884,14,14.59716017,1,1,54926
TTLL12,TTLL12,All Targets,RNA,Endogenous,01,1,818,16,15.53593061,1,1,23170
FANCE,FANCE,All Targets,RNA,Endogenous,01,1,867,24,23.75409243,1,1,2178
CASP4,CASP4,All Targets,RNA,Endogenous,01,1,781,17,16.78828567,1,1,837
TMEM71,TMEM71,All Targets,RNA,Endogenous,01,1,814,14,13.67658256,1,1,137835
PDS5B,PDS5B,All Targets,RNA,Endogenous,01,1,738,23.5,22.84417126,1,1,23047
EPG5,EPG5,All Targets,RNA,Endogenous,01,1,826,15,15.87294979,1,1,57724
CYP2E1,CYP2E1,All Targets,RNA,Endogenous,01,1,1082,17,16.47627698,1,1,1571
FAM227A,FAM227A,All Targets,RNA,Endogenous,01,1,986,15,15.32174719,1,1,646851
CUL7,CUL7,All Targets,RNA,Endogenous,01,1,862,14,13.4012183,1,1,9820
RPL28,RPL28,All Targets,RNA,Endogenous,01,1,3374,135.5,131.6071269,1,1,6158
KRTAP10-7,KRTAP10-7,All Targets,RNA,Endogenous,01,1,820,21,19.97270681,1,1,386675
RIMBP2,RIMBP2,All Targets,RNA,Endogenous,01,1,779,10,10.21843134,1,1,23504
FZD6,FZD6,All Targets,RNA,Endogenous,01,1,818,14,13.85525654,1,1,8323
RABGGTA,RABGGTA,All Targets,RNA,Endogenous,01,1,905,14,13.75357068,1,1,5875
CHD8,CHD8,All Targets,RNA,Endogenous,01,1,715,14,12.57552836,1,1,57680
UPK1A,UPK1A,All Targets,RNA,Endogenous,01,1,728,8,8.164339127,1,1,11045
AK1,AK1,All Targets,RNA,Endogenous,01,1,1146,20.5,19.68500094,1,1,203
FAM25A,"FAM25C,FAM25A,FAM25G,FAM25BP,FAM25E",All Targets,RNA,Endogenous,01,1,748,19,19.98938265,1,1,643161
ZNF766,ZNF766,All Targets,RNA,Endogenous,01,1,895,16.5,16.43579907,1,1,90321
ZNF91,ZNF91,All Targets,RNA,Endogenous,01,1,1076,12,11.57814692,1,1,7644
XRRA1,XRRA1,All Targets,RNA,Endogenous,01,1,949,16.5,16.3538651,1,1,143570
THNSL2,THNSL2,All Targets,RNA,Endogenous,01,1,833,14,12.60711516,1,1,55258
ARL10,ARL10,All Targets,RNA,Endogenous,01,1,938,27,27.47594893,1,1,285598
CACNA2D3,CACNA2D3,All Targets,RNA,Endogenous,01,1,1052,15,14.22316761,1,1,55799
M1AP,M1AP,All Targets,RNA,Endogenous,01,1,828,9,9.017506643,1,1,130951
WDR54,WDR54,All Targets,RNA,Endogenous,01,1,792,13.5,12.94492592,1,1,84058
CCIN,CCIN,All Targets,RNA,Endogenous,01,1,669,12,11.29752807,1,1,881
TENT5D,TENT5D,All Targets,RNA,Endogenous,01,1,878,12,11.49809733,1,1,169966
COG5,COG5,All Targets,RNA,Endogenous,01,1,857,14,13.99270287,1,1,10466
PRR20A,"PRR20A,PRR20B,PRR20C,PRR20D,PRR20E",All Targets,RNA,Endogenous,01,1,1070,27,26.86552968,1,1,122183
CIAO1,CIAO1,All Targets,RNA,Endogenous,01,1,1032,20,20.28396962,1,1,9391
FANCF,FANCF,All Targets,RNA,Endogenous,01,1,814,12,11.51574302,1,1,2188
TRIM40,TRIM40,All Targets,RNA,Endogenous,01,1,774,12,11.29779935,1,1,135644
CDC34,CDC34,All Targets,RNA,Endogenous,01,1,850,14,13.16545762,1,1,997
C17orf50,C17orf50,All Targets,RNA,Endogenous,01,1,870,12.5,12.14087046,1,1,146853
LPO,LPO,All Targets,RNA,Endogenous,01,1,772,10.5,10.31412357,1,1,4025
SMIM12,SMIM12,All Targets,RNA,Endogenous,01,1,942,20.5,20.34779159,1,1,113444
SERPING1,SERPING1,All Targets,RNA,Endogenous,01,1,824,28,27.20718655,1,1,710
ZNF543,ZNF543,All Targets,RNA,Endogenous,01,1,777,11,10.05871665,1,1,125919
OGDH,OGDH,All Targets,RNA,Endogenous,01,1,849,15,15.55761601,1,1,4967
MTARC1,MTARC1,All Targets,RNA,Endogenous,01,1,905,17,16.31227462,1,1,64757
SGK2,SGK2,All Targets,RNA,Endogenous,01,1,940,18,17.69640472,1,1,10110
NTNG2,NTNG2,All Targets,RNA,Endogenous,01,1,659,12,11.97620353,1,1,84628
TUBG1,TUBG1,All Targets,RNA,Endogenous,01,1,888,16,16.25426485,1,1,7283
DISC1,"DISC1,TSNAX-DISC1",All Targets,RNA,Endogenous,01,1,1007,17,15.26169074,1,1,27185
SOX14,SOX14,All Targets,RNA,Endogenous,01,1,794,12,11.35104339,1,1,8403
KRT7,KRT7,All Targets,RNA,Endogenous,01,1,939,18,16.54955844,1,1,3855
COL3A1,COL3A1,All Targets,RNA,Endogenous,01,1,840,24,24.97458895,1,1,1281
HTR5A,HTR5A,All Targets,RNA,Endogenous,01,1,800,12,11.51133143,1,1,3361
LANCL1,LANCL1,All Targets,RNA,Endogenous,01,1,759,14,12.91449381,1,1,10314
LZTS1,LZTS1,All Targets,RNA,Endogenous,01,1,863,11.5,11.63692502,1,1,11178
IGFL3,IGFL3,All Targets,RNA,Endogenous,01,1,767,11,11.18773961,1,1,388555
PPP1R17,PPP1R17,All Targets,RNA,Endogenous,01,1,925,16,15.36100894,1,1,10842
GALNT8,GALNT8,All Targets,RNA,Endogenous,01,1,706,12,11.18099853,1,1,26290
MICOS13,MICOS13,All Targets,RNA,Endogenous,01,1,780,14,13.79462607,1,1,125988
DNAJB6,DNAJB6,All Targets,RNA,Endogenous,01,1,747,21,21.13575653,1,1,10049
PRKD1,PRKD1,All Targets,RNA,Endogenous,01,1,1068,15,15.27703992,1,1,5587
TCF21,TCF21,All Targets,RNA,Endogenous,01,1,1122,13,13.33519557,1,1,6943
EDEM1,EDEM1,All Targets,RNA,Endogenous,01,1,878,24,24.20444394,1,1,9695
OR10A3,OR10A3,All Targets,RNA,Endogenous,01,1,867,13.5,12.64313178,1,1,26496
C6orf15,C6orf15,All Targets,RNA,Endogenous,01,1,891,14,13.29917013,1,1,29113
WDR72,WDR72,All Targets,RNA,Endogenous,01,1,853,10.5,9.95204364,1,1,256764
PTN,PTN,All Targets,RNA,Endogenous,01,1,964,28,28.95822229,1,1,5764
KRTAP2-2,KRTAP2-2,All Targets,RNA,Endogenous,01,1,810,9,9.053240926,1,1,728279
GJC2,GJC2,All Targets,RNA,Endogenous,01,1,792,42,41.09388453,1,1,57165
TOLLIP,TOLLIP,All Targets,RNA,Endogenous,01,1,849,15,15.61684328,1,1,54472
PRAME,PRAME,All Targets,RNA,Endogenous,01,1,677,10,9.91139302,1,1,23532
SGPL1,SGPL1,All Targets,RNA,Endogenous,01,1,837,15,15.0189089,1,1,8879
MRPL35,MRPL35,All Targets,RNA,Endogenous,01,1,969,20,19.60301667,1,1,51318
REG4,REG4,All Targets,RNA,Endogenous,01,1,807,14,12.72808059,1,1,83998
PCDH12,PCDH12,All Targets,RNA,Endogenous,01,1,995,14,14.29798878,1,1,51294
SDSL,SDSL,All Targets,RNA,Endogenous,01,1,783,12,11.07771798,1,1,113675
CENPN,CENPN,All Targets,RNA,Endogenous,01,1,848,12,11.96848599,1,1,55839
SLURP1,SLURP1,All Targets,RNA,Endogenous,01,1,764,20,19.81159751,1,1,57152
EIF2AK3,EIF2AK3,All Targets,RNA,Endogenous,01,1,836,14,12.98351013,1,1,9451
PNMA6E,PNMA6E,All Targets,RNA,Endogenous,01,1,1052,11,10.60638441,1,1,649238
ZFP3,ZFP3,All Targets,RNA,Endogenous,01,1,939,15,14.39068118,1,1,124961
WASL,WASL,All Targets,RNA,Endogenous,01,1,898,22,20.85691678,1,1,8976
LRRC73,LRRC73,All Targets,RNA,Endogenous,01,1,919,19,18.69982082,1,1,221424
BTBD16,BTBD16,All Targets,RNA,Endogenous,01,1,655,7.5,7.284653623,1,1,118663
LHX2,LHX2,All Targets,RNA,Endogenous,01,1,855,18,17.65996513,1,1,9355
SPATA32,SPATA32,All Targets,RNA,Endogenous,01,1,1021,14,14.13849537,1,1,124783
HSPD1,HSPD1,All Targets,RNA,Endogenous,01,1,696,22,22.39071858,1,1,3329
FSIP1,FSIP1,All Targets,RNA,Endogenous,01,1,817,11,11.5493008,1,1,161835
CHD2,CHD2,All Targets,RNA,Endogenous,01,1,1003,29,30.23097018,1,1,1106
TMEM54,TMEM54,All Targets,RNA,Endogenous,01,1,831,12,11.59757525,1,1,113452
MEOX1,MEOX1,All Targets,RNA,Endogenous,01,1,953,13,12.75211731,1,1,4222
SH2B2,SH2B2,All Targets,RNA,Endogenous,01,1,773,13,12.71727784,1,1,10603
KCNA3,KCNA3,All Targets,RNA,Endogenous,01,1,762,13,12.17045237,1,1,3738
TRO,TRO,All Targets,RNA,Endogenous,01,1,843,13,13.25622111,1,1,7216
TACR3,TACR3,All Targets,RNA,Endogenous,01,1,874,15,14.61152521,1,1,6870
PURA,PURA,All Targets,RNA,Endogenous,01,1,697,15,14.12115952,1,1,5813
TP53INP1,TP53INP1,All Targets,RNA,Endogenous,01,1,780,14,13.30434991,1,1,94241
PLOD3,PLOD3,All Targets,RNA,Endogenous,01,1,741,17,16.27758957,1,1,8985
ATG4A,ATG4A,All Targets,RNA,Endogenous,01,1,642,9,9.649384964,1,1,115201
H1-3,H1-3,All Targets,RNA,Endogenous,01,1,1064,34,32.52324065,1,1,3007
PTPRJ,PTPRJ,All Targets,RNA,Endogenous,01,1,873,16,15.27494287,1,1,5795
DNAJC21,DNAJC21,All Targets,RNA,Endogenous,01,1,902,21,20.16305508,1,1,134218
NDUFS5,NDUFS5,All Targets,RNA,Endogenous,01,1,820,21,20.53470346,1,1,4725
MAGEB16,MAGEB16,All Targets,RNA,Endogenous,01,1,824,9,8.226421013,1,1,139604
LMO1,LMO1,All Targets,RNA,Endogenous,01,1,771,24,24.05287264,1,1,4004
SBK1,SBK1,All Targets,RNA,Endogenous,01,1,735,14,13.83968434,1,1,388228
AKR1C1,AKR1C1,All Targets,RNA,Endogenous,01,1,1568,23.5,23.82434973,1,1,1645
PDE6A,PDE6A,All Targets,RNA,Endogenous,01,1,831,12,11.30675081,1,1,5145
NOS1AP,NOS1AP,All Targets,RNA,Endogenous,01,1,797,10,10.21131963,1,1,9722
CPAMD8,CPAMD8,All Targets,RNA,Endogenous,01,1,832,16,15.36424145,1,1,27151
EVPL,EVPL,All Targets,RNA,Endogenous,01,1,858,14,13.49364003,1,1,2125
KNTC1,KNTC1,All Targets,RNA,Endogenous,01,1,750,15.5,15.33932607,1,1,9735
KCNK10,KCNK10,All Targets,RNA,Endogenous,01,1,978,14,13.43254211,1,1,54207
TAFA1,TAFA1,All Targets,RNA,Endogenous,01,1,963,13,13.06439013,1,1,407738
NOX1,NOX1,All Targets,RNA,Endogenous,01,1,750,8.5,8.532200553,1,1,27035
GRIN1,GRIN1,All Targets,RNA,Endogenous,01,1,781,15,15.45176779,1,1,2902
ZBED3,ZBED3,All Targets,RNA,Endogenous,01,1,859,13,13.01919847,1,1,84327
PET117,"PET117,KAT14",All Targets,RNA,Endogenous,01,1,1018,19,19.38659952,1,1,100303755
TUT1,TUT1,All Targets,RNA,Endogenous,01,1,825,15,14.70240042,1,1,64852
CREB3L3,CREB3L3,All Targets,RNA,Endogenous,01,1,742,10,9.227772761,1,1,84699
BPI,BPI,All Targets,RNA,Endogenous,01,1,820,12.5,12.14354674,1,1,671
SPAAR,SPAAR,All Targets,RNA,Endogenous,01,1,834,15,13.73069738,1,1,158376
KRTAP5-10,KRTAP5-10,All Targets,RNA,Endogenous,01,1,839,15.5,14.88644481,1,1,387273
NIPSNAP2,NIPSNAP2,All Targets,RNA,Endogenous,01,1,839,18,18.4827407,1,1,2631
COPS5,COPS5,All Targets,RNA,Endogenous,01,1,743,10,9.592468338,1,1,10987
OR1M1,OR1M1,All Targets,RNA,Endogenous,01,1,823,15,14.63692539,1,1,125963
PPIG,PPIG,All Targets,RNA,Endogenous,01,1,872,25.5,25.98234548,1,1,9360
SSTR2,SSTR2,All Targets,RNA,Endogenous,01,1,911,15,15.63114171,1,1,6752
MPHOSPH10,MPHOSPH10,All Targets,RNA,Endogenous,01,1,983,17,17.69528861,1,1,10199
ST13,ST13,All Targets,RNA,Endogenous,01,1,965,31,31.4729272,1,1,6767
ALX4,ALX4,All Targets,RNA,Endogenous,01,1,780,10.5,9.907672324,1,1,60529
LYZL1,"LYZL1,LYZL2",All Targets,RNA,Endogenous,01,1,811,16,15.25806585,1,1,84569
TIFA,TIFA,All Targets,RNA,Endogenous,01,1,771,16,16.09026924,1,1,92610
RNASEH2B,RNASEH2B,All Targets,RNA,Endogenous,01,1,762,12,12.01445459,1,1,79621
ASPSCR1,ASPSCR1,All Targets,RNA,Endogenous,01,1,831,19,18.51818247,1,1,79058
USPL1,USPL1,All Targets,RNA,Endogenous,01,1,846,13,12.0542844,1,1,10208
STXBP5L,STXBP5L,All Targets,RNA,Endogenous,01,1,779,11,10.59314667,1,1,9515
KRT19,KRT19,All Targets,RNA,Endogenous,01,1,3201,20,20.14834169,1,1,3880
SELENOO,SELENOO,All Targets,RNA,Endogenous,01,1,916,15,14.88781863,1,1,83642
MANSC4,MANSC4,All Targets,RNA,Endogenous,01,1,876,16,15.64789819,1,1,100287284
EOGT,EOGT,All Targets,RNA,Endogenous,01,1,851,14,13.39941217,1,1,285203
SASH3,SASH3,All Targets,RNA,Endogenous,01,1,938,15,16.15178629,1,1,54440
EPHA1,EPHA1,All Targets,RNA,Endogenous,01,1,876,14,13.61040468,1,1,2041
FAM186A,FAM186A,All Targets,RNA,Endogenous,01,1,825,10,9.909418131,1,1,121006
NUP133,NUP133,All Targets,RNA,Endogenous,01,1,817,13,12.72664426,1,1,55746
CDKL2,CDKL2,All Targets,RNA,Endogenous,01,1,827,25,26.29531226,1,1,8999
CYP1A1,CYP1A1,All Targets,RNA,Endogenous,01,1,1104,15,14.7269388,1,1,1543
PKP1,PKP1,All Targets,RNA,Endogenous,01,1,806,12,11.43230362,1,1,5317
SPANXN2,SPANXN2,All Targets,RNA,Endogenous,01,1,952,15,14.96882428,1,1,494119
TMTC1,TMTC1,All Targets,RNA,Endogenous,01,1,884,12,11.78061052,1,1,83857
COL6A1,COL6A1,All Targets,RNA,Endogenous,01,1,1091,34,34.86018297,1,1,1291
DHRS2,DHRS2,All Targets,RNA,Endogenous,01,1,1154,22,22.02689418,1,1,10202
PTPN9,PTPN9,All Targets,RNA,Endogenous,01,1,837,14,13.77937893,1,1,5780
FKBP14,FKBP14,All Targets,RNA,Endogenous,01,1,850,10,10.02573467,1,1,55033
KCNC3,KCNC3,All Targets,RNA,Endogenous,01,1,579,15,15.42638187,1,1,3748
SCAF4,SCAF4,All Targets,RNA,Endogenous,01,1,828,12,12.58626175,1,1,57466
CDCA8,CDCA8,All Targets,RNA,Endogenous,01,1,1124,14,13.67001894,1,1,55143
DCAKD,DCAKD,All Targets,RNA,Endogenous,01,1,657,11,11.03444491,1,1,79877
SECISBP2,SECISBP2,All Targets,RNA,Endogenous,01,1,814,17,16.94903479,1,1,79048
PBK,PBK,All Targets,RNA,Endogenous,01,1,857,12,11.93921669,1,1,55872
CIART,CIART,All Targets,RNA,Endogenous,01,1,930,16,15.57468829,1,1,148523
WNT11,WNT11,All Targets,RNA,Endogenous,01,1,828,12,11.42140188,1,1,7481
ZKSCAN1,ZKSCAN1,All Targets,RNA,Endogenous,01,1,1015,17,17.27378056,1,1,7586
RAB5C,RAB5C,All Targets,RNA,Endogenous,01,1,1114,36,34.36355109,1,1,5878
EPHA3,EPHA3,All Targets,RNA,Endogenous,01,1,975,14,13.51236038,1,1,2042
OLFM3,OLFM3,All Targets,RNA,Endogenous,01,1,802,11,11.61292245,1,1,118427
RIMKLB,RIMKLB,All Targets,RNA,Endogenous,01,1,1127,25,25.01347545,1,1,57494
NPS,NPS,All Targets,RNA,Endogenous,01,1,726,11,10.7472281,1,1,594857
TSR3,TSR3,All Targets,RNA,Endogenous,01,1,634,17,16.46828322,1,1,115939
CHAF1A,CHAF1A,All Targets,RNA,Endogenous,01,1,835,19,20.45507922,1,1,10036
GPR151,GPR151,All Targets,RNA,Endogenous,01,1,825,13,12.01450018,1,1,134391
LY6G6F,LY6G6F,All Targets,RNA,Endogenous,01,1,767,13,13.2427004,1,1,259215
RIF1,RIF1,All Targets,RNA,Endogenous,01,1,783,13,12.49110432,1,1,55183
IMMT,IMMT,All Targets,RNA,Endogenous,01,1,682,13,11.63107557,1,1,10989
VTN,VTN,All Targets,RNA,Endogenous,01,1,800,12,11.44032602,1,1,7448
HES6,HES6,All Targets,RNA,Endogenous,01,1,987,19,18.25802419,1,1,55502
DGKQ,DGKQ,All Targets,RNA,Endogenous,01,1,1913,62,65.3829675,1,1,1609
FAM187A,"FAM187A,CCDC103",All Targets,RNA,Endogenous,01,1,859,9,9.070219554,1,1,100528020
VBP1,VBP1,All Targets,RNA,Endogenous,01,1,784,18,17.61428232,1,1,7411
TUBE1,TUBE1,All Targets,RNA,Endogenous,01,1,915,15,14.10803892,1,1,51175
FAM114A2,FAM114A2,All Targets,RNA,Endogenous,01,1,870,19,18.5670605,1,1,10827
CDKL5,CDKL5,All Targets,RNA,Endogenous,01,1,608,11,10.52694245,1,1,6792
VPS9D1,VPS9D1,All Targets,RNA,Endogenous,01,1,874,18,16.96148002,1,1,9605
THOC7,THOC7,All Targets,RNA,Endogenous,01,1,783,14,14.77369894,1,1,80145
PPM1F,PPM1F,All Targets,RNA,Endogenous,01,1,774,13,13.79507744,1,1,9647
H1-4,H1-4,All Targets,RNA,Endogenous,01,1,1158,55.5,56.7434698,1,1,3008
SOX1,SOX1,All Targets,RNA,Endogenous,01,1,747,11,10.77728456,1,1,6656
HPD,HPD,All Targets,RNA,Endogenous,01,1,868,8,7.938619366,1,1,3242
TSNAX,TSNAX,All Targets,RNA,Endogenous,01,1,661,14.5,14.18692342,1,1,7257
HIPK4,HIPK4,All Targets,RNA,Endogenous,01,1,902,22,21.81368474,1,1,147746
COPB2,COPB2,All Targets,RNA,Endogenous,01,1,854,18,17.93435852,1,1,9276
SLC26A8,SLC26A8,All Targets,RNA,Endogenous,01,1,813,12,10.90353885,1,1,116369
FAM98A,FAM98A,All Targets,RNA,Endogenous,01,1,848,15,14.98563021,1,1,25940
ZNF267,ZNF267,All Targets,RNA,Endogenous,01,1,861,17,17.30727176,1,1,10308
INHBB,INHBB,All Targets,RNA,Endogenous,01,1,833,9,8.740436189,1,1,3625
TREX2,TREX2,All Targets,RNA,Endogenous,01,1,1116,13,13.0370974,1,1,11219
NADK2,NADK2,All Targets,RNA,Endogenous,01,1,777,12,11.90952227,1,1,133686
LIF,LIF,All Targets,RNA,Endogenous,01,1,817,17,16.90650232,1,1,3976
CRP,CRP,All Targets,RNA,Endogenous,01,1,1932,25.5,24.29799026,1,1,1401
